_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,antecedent,antecedent:confidence,orig_antecedent,antecedent_gold,option1,option2,option3,option4,option5
831005673,false,finalized,5,11/20/2015 20:20:56,kick a field goal,0.8092,It is first down and 10. The ball is on your opponent's 20 yardline. There is 3 seconds left in the second quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005674,false,finalized,5,11/18/2015 21:59:00,kick a field goal,1.0,It is second down and inches. The ball is on your opponent's 5 yardline. There is 3 seconds left in the second quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005675,false,finalized,5,11/20/2015 22:43:15,kick a field goal,0.6211,It is second down and inches. The ball is on your opponent's 20 yardline. There is 3 seconds left in the second quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005676,false,finalized,5,11/19/2015 07:41:33,kick a field goal,0.8073,It is second down and inches. The ball is on your opponent's 5 yardline. There is 3 seconds left in the fourth quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005677,false,finalized,5,11/21/2015 08:01:50,kick a field goal,1.0,It is second down and inches. The ball is on your opponent's 20 yardline. There is 3 seconds left in the fourth quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005678,false,finalized,5,11/21/2015 18:25:45,pass,1.0,It is second down and inches. The ball is on your 45 yardline. There is 3 seconds left in the fourth quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005679,false,finalized,5,11/20/2015 20:31:38,pass,1.0,It is second down and inches. The ball is on your 20 yardline. There is 3 seconds left in the fourth quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005680,false,finalized,5,11/20/2015 19:10:02,kick a field goal,0.7953,It is second down and 3. The ball is on your opponent's 5 yardline. There is 3 seconds left in the fourth quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005681,false,finalized,5,11/20/2015 18:20:26,kick a field goal,1.0,It is second down and 3. The ball is on your opponent's 20 yardline. There is 3 seconds left in the fourth quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005682,false,finalized,5,11/20/2015 09:58:04,pass,0.5874,It is second down and 3. The ball is on your opponent's 20 yardline. There is 3 seconds left in the second quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005683,false,finalized,5,11/20/2015 15:49:08,pass,0.8258,It is second down and 3. The ball is on your opponent's 20 yardline. There is 3 seconds left in the fourth quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005684,false,finalized,5,11/19/2015 15:23:07,kick a field goal,1.0,It is second down and 8. The ball is on your opponent's 20 yardline. There is 3 seconds left in the fourth quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005685,false,finalized,5,11/20/2015 13:52:29,pass,1.0,It is second down and 8. The ball is on your 45 yardline. There is 3 seconds left in the fourth quarter. You are down by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005686,false,finalized,5,11/20/2015 11:36:46,kneel down,0.8248,It is third down and inches. The ball is on your opponent's 40 yardline. There is 3 seconds left in the fourth quarter. You are up by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005687,false,finalized,5,11/20/2015 19:51:51,kneel down,1.0,It is third down and inches. The ball is on your 45 yardline. There is 3 seconds left in the fourth quarter. You are up by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005688,false,finalized,5,11/20/2015 20:13:23,kneel down,0.6008,It is third down and inches. The ball is on your opponent's 40 yardline. There is 3 seconds left in the fourth quarter. You are up by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005689,false,finalized,5,11/18/2015 22:12:13,kneel down,0.8108,It is third down and inches. The ball is on your 45 yardline. There is 3 seconds left in the fourth quarter. You are up by 7 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005690,false,finalized,5,11/18/2015 21:56:32,kick a field goal,1.0,It is fourth down and inches. The ball is on your opponent's 20 yardline. There is 3 seconds left in the second quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005691,false,finalized,5,11/21/2015 04:29:32,run,0.4078,It is first down and 10. Would you:,, punt, kick a field goal, run, pass, kneel down
831005692,false,finalized,5,11/18/2015 21:16:17,Don't know / it depends,0.8205, You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005693,false,finalized,5,11/21/2015 14:22:27,pass,0.8092,It is first down and 10. The ball is on your opponent's 20 yardline. It is the first quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005694,false,finalized,5,11/19/2015 16:12:59,pass,0.6314,It is first down and 10. The ball is on your opponent's 40 yardline. It is the first quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
831005695,false,finalized,5,11/20/2015 16:36:44,pass,0.5725,It is first down and 10. The ball is on your 45 yardline. It is the first quarter. You are down by 3 points. Would you:,, punt, kick a field goal, run, pass, kneel down
